adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,title_clean,year
False,/k24eZq5I3jyz4htPkZCRpnUmBzE.jpg,"[18, 10749]",1156593,es,Culpa tuya,The love between Noah and Nick seems unwavering despite their parents' attempts to separate them. But his job and her entry into college open up their lives to new relationships that will shake the foundations of both their relationship and the Leister family itself.,18.0735,/1sQA7lfcF9yUyoLYC0e6Zo3jmxE.jpg,2024-12-26,Your Fault,False,7.09,1530,your fault,2024
False,/aCHn2TXYJfzPXQKA6r9mKPbMlUB.jpg,"[35, 18]",37165,en,The Truman Show,"In a picture-perfect seaside town, an insurance salesman begins to realize that his entire existence may be staged and observed by a vast unseen audience as part of a reality TV show.",18.0407,/vuza0WqY239yBXOadKlGwJsZJFE.jpg,1998-06-04,The Truman Show,False,8.152,20015,the truman show,1998
False,/sdwjQEM869JFwMytTmvr6ggvaUl.jpg,"[18, 53, 9648, 28]",670,ko,올드보이,"With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate man seeks revenge on his captors.",17.995,/pWDtjs568ZfOTMbURQBYuT4Qxka.jpg,2003-11-21,Oldboy,False,8.239,9717,oldboy,2003
False,/rvtdN5XkWAfGX6xDuPL6yYS2seK.jpg,"[80, 9648, 53]",414906,en,The Batman,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",17.99,/74xTEgt7R36Fpooo50r9T25onhq.jpg,2022-03-01,The Batman,False,7.658,11774,the batman,2022
False,/iWak7wT0j6ycCc8lKr4NBz9c7n5.jpg,"[9648, 53, 18]",210577,en,Gone Girl,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",17.973300000000002,/ts996lKsxvjkO2yiYG0ht4qAicO.jpg,2014-10-01,Gone Girl,False,7.89,19808,gone girl,2014
False,/70AV2Xx5FQYj20labp0EGdbjI6E.jpg,"[53, 80, 18]",637649,en,Wrath of Man,"A cold and mysterious new security guard for a Los Angeles cash truck company surprises his co-workers when he unleashes precision skills during a heist. The crew is left wondering who he is and where he came from. Soon, the marksman's ultimate motive becomes clear as he takes dramatic and irrevocable steps to settle a score.",17.9049,/M7SUK85sKjaStg4TKhlAVyGlz3.jpg,2021-04-22,Wrath of Man,False,7.58,6017,wrath of man,2021
False,/4s2d3xdyqotiVNHTlTlJjrr3q0H.jpg,"[12, 10751, 16, 28, 35]",177572,en,Big Hero 6,"A special bond develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",17.7772,/2mxS4wUimwlLmI1xp6QW6NSU361.jpg,2014-10-24,Big Hero 6,False,7.724,16473,big hero 6,2014
False,/w1oD1MzHjnBJc5snKupIQaSBLIh.jpg,"[28, 12, 878]",559,en,Spider-Man 3,"The seemingly invincible Spider-Man goes up against an all-new crop of villains—including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",17.7652,/qFmwhVUoUSXjkKRmca5yGDEXBIj.jpg,2007-05-01,Spider-Man 3,False,6.454,15088,spiderman 3,2007
False,/tuDhEdza074bA497bO9WFEPs6O6.jpg,"[12, 10751, 14]",411,en,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.",17.7196,/iREd0rNCjYdf5Ar0vfaW32yrkm.jpg,2005-12-07,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",False,7.136,11415,the chronicles of narnia the lion the witch and the wardrobe,2005
False,/b9diKSmofRcgjbUxDrSPms82yAN.jpg,"[18, 10749]",9769,en,Lolita,"Humbert Humbert is a middle-aged British novelist who is both appalled by and attracted to the vulgarity of American culture. When he comes to stay at the boarding house run by Charlotte Haze, he soon becomes obsessed with Lolita, the woman's teenaged daughter.",17.7181,/9INcC14WZjCMKGE360VXmklCLdZ.jpg,1997-09-27,Lolita,False,7.107,1944,lolita,1997
